"context_stratum","psu_clusters","effective_psu_count","simultaneous_l1_radius","raw_radius"
"female_age18to59",60,49.5247971258629,1.03571448852969,1.03571448852969
"female_age60plus",60,39.325044413576,1.16229613406122,1.16229613406122
"male_age18to59",60,49.1381067564527,1.03978175931391,1.03978175931391
"male_age60plus",60,39.9453582095218,1.15323614094171,1.15323614094171
