"outcome","months","proxy_bins","n","deaths","survey_weight_sum","plugin_witness_bits","bootstrap_bias_corrected_bits","ci_lower","ci_upper","bootstrap_replicates","conditional_permutation_p","permutation_replicates"
"primary",120,2,6565,903,139797806.915332,0.0113001872476625,0.0104114170855067,0.00650161105449312,0.0137361698031704,1000,0.000999000999000999,1000
"primary",120,3,6565,903,139797806.915332,0.0201077340099998,0.018166475494663,0.0140024341471312,0.0221787955852042,1000,0.000999000999000999,1000
"primary",120,4,6565,903,139797806.915332,0.0298430654736502,0.0275273977309039,0.0219377210682338,0.0327196521016568,1000,0.000999000999000999,1000
"robustness",60,2,6565,405,139797806.915332,0.00916079923666769,0.00872007294699016,0.00659871727334671,0.0108438751357283,1000,0.000999000999000999,1000
"robustness",60,3,6565,405,139797806.915332,0.013517473098387,0.0125621116209177,0.00933442466145635,0.0155304765952106,1000,0.000999000999000999,1000
"robustness",60,4,6565,405,139797806.915332,0.0200595195113278,0.0187042033169261,0.0147202099981038,0.0224038414870583,1000,0.000999000999000999,1000
