"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","sharp_lower_boot_median","sharp_upper_boot_median","compatible_boot_replicates"
0.0025,0.0025,0.0025,FALSE,-0.000511744266815492,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.0025,0.0025,FALSE,-0.000515802737278315,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.0025,0.0025,FALSE,-0.00052404391709568,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.0025,0.0025,FALSE,-0.00190390180111472,22,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.0025,0.0025,FALSE,-0.00745284037918728,34,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.005,0.0025,FALSE,-0.000535726773761518,10,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.005,0.0025,FALSE,-0.000539827814901301,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.005,0.0025,FALSE,-0.000543970280699061,12,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.005,0.0025,FALSE,-0.000552382022472064,16,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.005,0.0025,FALSE,-0.00193495605125256,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.005,0.0025,FALSE,-0.0075037406993076,34,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.01,0.0025,FALSE,-0.000990898787428302,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.01,0.0025,FALSE,-0.000996531091405784,12,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.01,0.0025,FALSE,-0.00100222028734263,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.01,0.0025,FALSE,-0.00101377283827563,17,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.01,0.0025,FALSE,-0.00199900544216185,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.01,0.0025,FALSE,-0.00760872260955577,32,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.02,0.0025,FALSE,-0.0020624369366427,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.02,0.0025,FALSE,-0.00206660084130179,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.02,0.0025,FALSE,-0.00207080680560391,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.02,0.0025,FALSE,-0.0020793474882174,19,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.02,0.0025,FALSE,-0.00224047869189914,25,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.02,0.0025,FALSE,-0.00783237972269316,34,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.05,0.0025,FALSE,-0.00676903351699217,21,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.05,0.0025,FALSE,-0.00680144139737159,21,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.05,0.0025,FALSE,-0.00683417663007808,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.05,0.0025,FALSE,-0.00690064919445145,26,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.05,0.0025,FALSE,-0.00703774885847154,32,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.05,0.0025,FALSE,-0.00863754532998776,40,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0,0.005,FALSE,-0.00147096084650051,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0,0.005,FALSE,-0.00147609689234957,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0,0.005,FALSE,-0.00148128481744963,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0,0.005,FALSE,-0.00149181948168342,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0,0.005,FALSE,-0.0018864058580935,21,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0,0.005,FALSE,-0.00743691569790897,34,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.0025,0.005,FALSE,-0.00150381191202102,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.0025,0.005,FALSE,-0.00150903392507167,9,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.0025,0.005,FALSE,-0.00151430868572889,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.0025,0.005,FALSE,-0.00152501967930835,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.0025,0.005,FALSE,-0.00191700794509753,22,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.0025,0.005,FALSE,-0.00748701724109479,34,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.005,0.005,FALSE,-0.00153733340745011,10,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.005,0.005,FALSE,-0.00154264314213504,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.005,0.005,FALSE,-0.00154800651050365,12,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.005,0.005,FALSE,-0.00155889743198685,16,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.005,0.005,FALSE,-0.0019482345644894,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.005,0.005,FALSE,-0.00753814126475378,32,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.01,0.005,FALSE,-0.0016064714917726,11,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.01,0.005,FALSE,-0.00161196215232823,12,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.01,0.005,FALSE,-0.00161750827410158,13,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.01,0.005,FALSE,-0.00162877029688626,17,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.01,0.005,FALSE,-0.00201263946698513,24,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.01,0.005,FALSE,-0.00764358456355046,32,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.02,0.005,FALSE,-0.00207515842280251,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.02,0.005,FALSE,-0.00207912956568016,14,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.02,0.005,FALSE,-0.00208314082111214,15,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.02,0.005,FALSE,-0.00209128612550973,19,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.02,0.02,0.005,FALSE,-0.00225306631106803,25,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.05,0.02,0.005,FALSE,-0.0078682246348999,34,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0,0.05,0.005,FALSE,-0.00680454521153687,21,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.0025,0.05,0.005,FALSE,-0.00683713306503949,21,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.005,0.05,0.005,FALSE,-0.00687005008877952,23,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
0.01,0.05,0.005,FALSE,-0.00693689180025161,26,0.0298430654736502,0.341175288751263,NA,NA,NA,NA,NA,0
