"replicate","witness_bits"
1,0.0190630266269119
2,0.0172181244377957
3,0.0271183782778241
4,0.0171330625549345
5,0.0167344805043398
6,0.0255769870305242
7,0.0145562537282424
8,0.0181125330098663
9,0.0192834018655552
10,0.0153647733007371
11,0.011941424467718
12,0.0178990293800749
13,0.0214437309046793
14,0.0184944395187668
15,0.0190759591570226
16,0.0221400738397017
17,0.0160137463862261
18,0.0148266073402296
19,0.0212636405793258
20,0.0131608933548451
21,0.0215748014531068
22,0.0190309186977141
23,0.0191421340162699
24,0.0150435875459743
25,0.0176360235937798
26,0.0204644537818515
27,0.017231692331309
28,0.0139573059512204
29,0.0217258406296307
30,0.0160389948078796
31,0.0099489942344738
32,0.0211206705405187
33,0.0126290290430686
34,0.0156028086699546
35,0.0187638214541692
36,0.0119211929558092
37,0.0286664653108186
38,0.0263251111655624
39,0.0253520310742912
40,0.0180095972849277
41,0.0128078088011393
42,0.0248729803566077
43,0.0265995481755074
44,0.0249327768954262
45,0.0152522731187242
46,0.0137604118431477
47,0.0255854712428336
48,0.0221044233530557
49,0.0227137932371116
50,0.0258136841815024
51,0.00873867027751266
52,0.019525880440761
53,0.0210518470489728
54,0.012619291125343
55,0.0232329468882076
56,0.0207093696883948
57,0.0185220325476701
58,0.0176191901060196
59,0.0240017538833979
60,0.0145015399253111
61,0.0279125732155099
62,0.024022201365842
63,0.0212705742847747
64,0.0141830389914755
65,0.0129592377324349
66,0.0164634526705518
67,0.031259638758608
68,0.0141466622781524
69,0.0162600072786105
70,0.0341968382359255
71,0.0222594896830606
72,0.0229892930085744
73,0.024770259226972
74,0.0254264264465419
75,0.0214516659532246
76,0.0241920536953577
77,0.021144756024491
78,0.0237876067273805
79,0.0200280570916568
80,0.0154076047204164
81,0.0173597423470145
82,0.0226519425600241
83,0.0254854948003231
84,0.0165300246459398
85,0.0149766291275087
86,0.0157326129495181
87,0.0115542696722161
88,0.0173952751735123
89,0.0150508956199754
90,0.0230306708441823
91,0.0159315597670699
92,0.0114071151955937
93,0.0350351217252953
94,0.0143543469499526
95,0.0342242998424697
96,0.0188129738656484
97,0.0126909053302482
98,0.0127106747309499
99,0.0199306214688365
100,0.02497060068155
101,0.0153774239066038
102,0.0197276269329075
103,0.0150575896124346
104,0.0116906773757613
105,0.0202022816240927
106,0.017860982113609
107,0.021831762083027
108,0.0183803573895697
109,0.0148762905815366
110,0.00988361171889143
111,0.0230552870003412
112,0.0162436049099266
113,0.0106589580747424
114,0.0166866924284838
115,0.00856394979369297
116,0.0178349142939611
117,0.0232164576894674
118,0.0260433058665018
119,0.0108079511985046
120,0.01888423782788
121,0.0262867330717582
122,0.0233006160308714
123,0.0206093284031008
124,0.019404346678779
125,0.0190111238487039
126,0.014944190244965
127,0.0175104842773656
128,0.0142013479758933
129,0.0123104507867151
130,0.0159001976576665
131,0.0181499997535626
132,0.0238159688763592
133,0.0139154779268664
134,0.0192594190996793
135,0.0272297602443145
136,0.0205371789010155
137,0.0160296115349055
138,0.0184167818521118
139,0.0202410860950723
140,0.0251109045483299
141,0.01381865941575
142,0.0137200841413909
143,0.0283073216504894
144,0.0193759219897772
145,0.0183192455456548
146,0.0221503944758498
147,0.0139553384931968
148,0.0173106567181905
149,0.0169807311295998
150,0.0208318888620518
151,0.0197509661173059
152,0.0187876845932381
153,0.0281896629847311
154,0.0325579533023851
155,0.0191662119798518
156,0.0207608933822704
157,0.0146601000608206
158,0.023217894716988
159,0.0179249469755616
160,0.0212337893911459
161,0.0199532497650724
162,0.0261560889706216
163,0.0292745753404861
164,0.0211390339077519
165,0.0138057960397263
166,0.0206439052432708
167,0.00703444903234285
168,0.0182684851225098
169,0.0164044695825896
170,0.0177466823335294
171,0.0177440596226035
172,0.0298024172004237
173,0.0137794031179487
174,0.01773477405431
175,0.0111697022375526
176,0.017218595220755
177,0.0174143155387388
178,0.0235831245294163
179,0.0203429176947605
180,0.019668558673822
181,0.0335305445924905
182,0.0211868088001386
183,0.0233913310801872
184,0.0233674552079169
185,0.0123645354682542
186,0.0212692085275765
187,0.00776879634287795
188,0.00965152801445887
189,0.0169203151261278
190,0.00827138809186255
191,0.0162007438426915
192,0.018675535585448
193,0.0269761326021783
194,0.0134519779031157
195,0.0192995013833937
196,0.0169563928077197
197,0.0176238350497686
198,0.0126545610745269
199,0.0162162260446137
200,0.021249384656347
201,0.0201320835272431
202,0.0123527248075358
203,0.0226319433930881
204,0.0134439446826724
205,0.0117739448757919
206,0.0479800513032522
207,0.0139138147805482
208,0.0282248862929368
209,0.0176529590868111
210,0.0140807716888487
211,0.0213462068803002
212,0.0240534875554927
213,0.0209181770408195
214,0.0211418025723391
215,0.0153293850233442
216,0.0201746216591198
217,0.0167239701755602
218,0.0234401536349941
219,0.0120042601486344
220,0.0252075718833985
221,0.0111992585677449
222,0.027593563935021
223,0.017304259694342
224,0.0199876650725711
225,0.0251771912919686
226,0.0229072454583247
227,0.0167049646863174
228,0.0212877704545127
229,0.0200732791247328
230,0.0148038188417885
231,0.0191430795276256
232,0.0175322426601051
233,0.027530933642402
234,0.0190517752277436
235,0.0210021149326357
236,0.0142481505337922
237,0.0158613984506018
238,0.0240271522837913
239,0.0172752539926845
240,0.0254446238034063
241,0.0132581419494876
242,0.0183502524418645
243,0.0121384070051766
244,0.0207540814125401
245,0.0231773791085743
246,0.0322329136344285
247,0.0177860931923299
248,0.0217741233225665
249,0.0120379054595607
