"row_id","participant_id","analysis_weight","T","Y","M","C"
"1","px_535369b734b7cb64","0.00806451612903226","1","2","1","quality_low"
"2","px_535369b734b7cb64","0.00806451612903226","2","1","1","quality_low"
"3","px_535369b734b7cb64","0.00806451612903226","1","2","1","quality_low"
"4","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"5","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"6","px_535369b734b7cb64","0.00806451612903226","2","1","2","quality_low"
"7","px_535369b734b7cb64","0.00806451612903226","1","2","2","quality_low"
"8","px_535369b734b7cb64","0.00806451612903226","2","1","2","quality_low"
"9","px_535369b734b7cb64","0.00806451612903226","1","2","1","quality_low"
"10","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_high"
"11","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"12","px_535369b734b7cb64","0.00806451612903226","2","1","2","quality_low"
"13","px_535369b734b7cb64","0.00806451612903226","1","2","1","quality_high"
"14","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_high"
"15","px_535369b734b7cb64","0.00806451612903226","2","2","3","quality_low"
"16","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"17","px_535369b734b7cb64","0.00806451612903226","2","3","2","quality_low"
"18","px_535369b734b7cb64","0.00806451612903226","3","2","2","quality_low"
"19","px_535369b734b7cb64","0.00806451612903226","2","1","1","quality_low"
"20","px_535369b734b7cb64","0.00806451612903226","1","2","1","quality_low"
"21","px_535369b734b7cb64","0.00806451612903226","2","3","2","quality_high"
"22","px_535369b734b7cb64","0.00806451612903226","3","2","2","quality_low"
"23","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"24","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"25","px_535369b734b7cb64","0.00806451612903226","2","2","3","quality_high"
"26","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"27","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"28","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"29","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_high"
"30","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_high"
"31","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"32","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"33","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"34","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"35","px_535369b734b7cb64","0.00806451612903226","2","1","1","quality_low"
"36","px_535369b734b7cb64","0.00806451612903226","1","1","1","quality_low"
"37","px_535369b734b7cb64","0.00806451612903226","1","2","1","quality_low"
"38","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"39","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"40","px_535369b734b7cb64","0.00806451612903226","2","1","2","quality_low"
"41","px_535369b734b7cb64","0.00806451612903226","1","1","2","quality_low"
"42","px_535369b734b7cb64","0.00806451612903226","1","2","2","quality_low"
"43","px_535369b734b7cb64","0.00806451612903226","2","2","3","quality_low"
"44","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"45","px_535369b734b7cb64","0.00806451612903226","2","1","2","quality_low"
"46","px_535369b734b7cb64","0.00806451612903226","1","1","3","quality_low"
"47","px_535369b734b7cb64","0.00806451612903226","1","2","3","quality_low"
"48","px_535369b734b7cb64","0.00806451612903226","2","1","3","quality_low"
"49","px_535369b734b7cb64","0.00806451612903226","1","1","2","quality_low"
"50","px_535369b734b7cb64","0.00806451612903226","1","1","2","quality_low"
"51","px_535369b734b7cb64","0.00806451612903226","1","1","2","quality_low"
"52","px_535369b734b7cb64","0.00806451612903226","1","2","3","quality_low"
"53","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"54","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"55","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"56","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"57","px_535369b734b7cb64","0.00806451612903226","2","2","1","quality_low"
"58","px_535369b734b7cb64","0.00806451612903226","2","2","2","quality_low"
"59","px_535369b734b7cb64","0.00806451612903226","2","1","2","quality_low"
"60","px_535369b734b7cb64","0.00806451612903226","1","2","3","quality_low"
"61","px_535369b734b7cb64","0.00806451612903226","2","1","2","quality_high"
"62","px_535369b734b7cb64","0.00806451612903226","1","2","2","quality_low"
"63","px_535369b734b7cb64","0.00806451612903226","2","1","2","quality_high"
"64","px_535369b734b7cb64","0.00806451612903226","1","2","2","quality_low"
"65","px_535369b734b7cb64","0.00806451612903226","2","1","2","quality_low"
"66","px_535369b734b7cb64","0.00806451612903226","1","2","2","quality_low"
"67","px_535369b734b7cb64","0.00806451612903226","2","1","1","quality_low"
"68","px_535369b734b7cb64","0.00806451612903226","1","1","2","quality_low"
"69","px_535369b734b7cb64","0.00806451612903226","1","1","3","quality_low"
"70","px_535369b734b7cb64","0.00806451612903226","1","1","1","quality_low"
"71","px_535369b734b7cb64","0.00806451612903226","1","2","1","quality_low"
"72","px_535369b734b7cb64","0.00806451612903226","2","3","1","quality_low"
"73","px_535369b734b7cb64","0.00806451612903226","3","1","2","quality_low"
"74","px_535369b734b7cb64","0.00806451612903226","1","1","3","quality_high"
