n,replicates,compatible_fraction,mean_lower,mean_upper,rmse_lower,rmse_upper,pointwise_coverage_lower,pointwise_coverage_upper,outer_set_coverage
300,1500,1.0,0.022958601709509915,0.7020626137469881,0.018397973877542537,0.01035324117468213,0.9573333333333334,0.9466666666666667,0.996
600,1500,1.0,0.018445794561966607,0.7044878734269119,0.011397812924453334,0.006451491836107793,0.9473333333333334,0.9433333333333334,0.9886666666666667
1200,1500,1.0,0.016203254196410298,0.7055330206661126,0.007637972773830144,0.004620219227166004,0.948,0.934,0.9793333333333333
2400,1500,1.0,0.0150939634162845,0.7063363215924796,0.005275155328183908,0.0030027019504472413,0.944,0.9366666666666666,0.97
