modality,model_H_Y_given_R_C_bits,model_implied_witness_bits,lower_eta_0_005,lower_eta_0_01,lower_eta_0_02,upper_alpha_0_03,upper_alpha_0_05,eta_max_at_alpha_0_05,alpha_max_at_eta_0_02
audio,1.4965486258011398,0.0049545607294336465,0.005157858975746388,0.005374087213405598,0.00585000649854428,1.1091037066466636,0.9275530322118586,0.09049300043672061,0.09587492375955373
visual,1.4978813337942318,0.0022842453279087642,0.0023844734453524197,0.0024917002678481737,0.002730027844264793,1.1104364146397556,0.9288857402049506,0.093458539902852,0.14393859666873451
fused,1.4951444208399993,0.011893063535105748,0.012461711133131992,0.01307973834334164,0.014494578049644824,1.1076995016855231,0.9261488272507181,0.028893533955990935,0.0628249835804644
