modality,nested_cv_gain_bits,cluster_multiplier_ci_low,cluster_multiplier_ci_high,cluster_multiplier_p
audio,0.0029283949174266333,-0.00047784153195637143,0.0063346313668096385,0.0933906609339066
visual,-0.0012522960577876184,-0.00625613673448529,0.0037515446189100533,0.6223377662233777
fused,0.0010308207361945708,-0.004272956402528075,0.006334597874917216,0.7067293270672933
