text_dims,modality,gain_bits,ci_low,ci_high
4,audio,0.002497294479219457,-0.003043945157672183,0.008038534116111096
4,visual,-0.0016571223468265536,-0.007365792038877392,0.004051547345224284
4,fused,0.0014603747741209676,-0.005599892037146735,0.00852064158538867
8,audio,0.0026832413087814018,-0.0031066789177430663,0.008473161535305869
8,visual,-0.0027728332534767666,-0.009138891600574132,0.003593225093620598
8,fused,0.0008468247816786082,-0.006675236273232663,0.00836888583658988
16,audio,0.00274285403603753,-0.0019516306919911963,0.007437338764066256
16,visual,-0.002142526793460602,-0.008824931135884234,0.004539877548963029
16,fused,0.001444402711862892,-0.005655670755016891,0.008544476178742676
32,audio,0.0029283949174266333,-0.0005223892182956357,0.006379179053148902
32,visual,-0.0012522960577876184,-0.0062348914885578255,0.0037302993729825887
32,fused,0.0010308207361945708,-0.004295790104235076,0.006357431576624217
