modality,gain_bits,ci_low,ci_high,p
audio,0.00019898896083946576,-0.010245540770688195,0.010643518692367127,0.9733026697330267
visual,0.007153412600933643,-0.0033406468663503656,0.01764747206821765,0.1974802519748025
fused,0.00883497322862976,0.00018070812646838602,0.017489238330791135,0.044795520447955206
