"alpha","eta","delta","compatible","minimum_canonical_coordinate","bootstrap_compatibility_fraction","minimum_coordinate_ci_lower","minimum_coordinate_ci_upper","compatibility_inference","design_id"
0,0.0025,0.0025,TRUE,0.00125516928628965,1,0.000743654466114847,0.00199373896984515,"certified_compatible","C1_M2_T4"
0.0025,0.0025,0.0025,TRUE,0.00122764461566395,1,0.000780347082742414,0.00202759766949029,"certified_compatible","C1_M2_T4"
0.005,0.0025,0.0025,TRUE,0.00119984191806224,0.999,0.000816916391669636,0.00206708011339064,"certified_compatible","C1_M2_T4"
0.01,0.0025,0.0025,TRUE,0.00083344770638205,0.953,0.000406006464516703,0.00176109391279968,"certified_compatible","C1_M2_T4"
0.02,0.0025,0.0025,FALSE,-0.000399438731243818,0.157,-0.00122472029998525,0.000548680521785949,"indeterminate","C1_M2_T4"
0.05,0.0025,0.0025,FALSE,-0.00540591503308809,0,-0.00674860474278887,-0.00347291185090866,"rejected","C1_M2_T4"
0,0.005,0.0025,TRUE,0.00125373779848887,1,0.000765783002963758,0.00200979672737824,"certified_compatible","C1_M2_T4"
0.0025,0.005,0.0025,TRUE,0.00122649141073653,1,0.000798914089807883,0.00202912605639942,"certified_compatible","C1_M2_T4"
0.005,0.005,0.0025,TRUE,0.00119896980694629,0.999,0.000836346772328235,0.00207166657280384,"certified_compatible","C1_M2_T4"
0.01,0.005,0.0025,TRUE,0.000810506121623162,0.95,0.000389484037665418,0.00175524714541353,"certified_compatible","C1_M2_T4"
0.02,0.005,0.0025,FALSE,-0.00042428568134787,0.146,-0.00125878680839579,0.000526557246664888,"indeterminate","C1_M2_T4"
0.05,0.005,0.0025,FALSE,-0.00548484087354651,0,-0.00683785025698009,-0.0035559334149456,"rejected","C1_M2_T4"
0,0.01,0.0025,TRUE,0.00125083100183218,1,0.000798323015792638,0.00200998308096923,"certified_compatible","C1_M2_T4"
0.0025,0.01,0.0025,TRUE,0.00122414969869004,1,0.000842830385218339,0.002054738920022,"certified_compatible","C1_M2_T4"
0.005,0.01,0.0025,TRUE,0.00119719888743534,0.997,0.000883997688686141,0.00212436700300308,"certified_compatible","C1_M2_T4"
0.01,0.01,0.0025,TRUE,0.000763920658694402,0.937,0.000360855990971744,0.00170006581294138,"certified_compatible","C1_M2_T4"
0.02,0.01,0.0025,FALSE,-0.000474740202477526,0.121,-0.00130580667118048,0.000482647436031061,"indeterminate","C1_M2_T4"
0.05,0.01,0.0025,FALSE,-0.00564510865162023,0,-0.00708874210315026,-0.00370135503743423,"rejected","C1_M2_T4"
0,0.02,0.0025,TRUE,0.00124483573372776,0.997,0.000892187577352753,0.00211298563274363,"certified_compatible","C1_M2_T4"
0.0025,0.02,0.0025,TRUE,0.00121931991759414,0.995,0.0009234097812283,0.00221942912542499,"certified_compatible","C1_M2_T4"
0.005,0.02,0.0025,TRUE,0.0011268215549816,0.982,0.000832915047056936,0.00220820951056065,"certified_compatible","C1_M2_T4"
0.01,0.02,0.0025,TRUE,0.000667838141403834,0.87,0.000278231403610466,0.00169237249642203,"certified_compatible","C1_M2_T4"
0.02,0.02,0.0025,FALSE,-0.000578802652307441,0.081,-0.00137313631691758,0.000385285823954482,"indeterminate","C1_M2_T4"
0.05,0.02,0.0025,FALSE,-0.00597566094389727,0,-0.00755208916742612,-0.00401191605376619,"rejected","C1_M2_T4"
0,0.05,0.0025,TRUE,0.000386486280121391,0.733,-0.000374243179774308,0.00151787299268511,"indeterminate","C1_M2_T4"
0.0025,0.05,0.0025,TRUE,0.000232706913401368,0.644,-0.000603108485395422,0.00135892303201955,"indeterminate","C1_M2_T4"
0.005,0.05,0.0025,TRUE,7.73742197447784e-05,0.542,-0.000766420536224506,0.00119792556615059,"indeterminate","C1_M2_T4"
0.01,0.05,0.0025,FALSE,-0.000238046250027275,0.288,-0.00113308363920633,0.000886543402126825,"indeterminate","C1_M2_T4"
0.02,0.05,0.0025,FALSE,-0.000918739988418499,0.009,-0.00160382196888968,0.000262447472438957,"indeterminate","C1_M2_T4"
