"representation","common_floor","point_compatible","min_coordinate_ci_lower","min_coordinate_ci_upper","sharp_lower_bits","sharp_upper_bits","status"
"C1_M2_T4",0.005,TRUE,0.000581240759288135,0.0017936612432161,0.0359702662596345,0.395825293132434,"post_canonical_exploratory"
"C1_M2_T4",0.01,TRUE,0.000215157988177183,0.00142718408323977,0.0371369422996168,0.360446849570317,"post_canonical_exploratory"
"age2_M2_T4",0.005,TRUE,-0.000186052481340357,0.000346847486320773,0.00996980259071801,0.299498870486154,"post_canonical_exploratory"
"C4_M2_T2",0.005,TRUE,0.000208155662542894,0.00203462959201696,0.0127979160447663,0.302448612944385,"post_canonical_exploratory"
"C4_M2_T2",0.01,TRUE,-0.000588198447210914,0.00143428632113377,0.0132696251108541,0.267070169382268,"post_canonical_exploratory"
