"alpha","eta","compatible_at_delta_zero","delta_max","bootstrap_median","ci_lower","ci_upper","design_id"
0,0.01,TRUE,0.0116021976906273,0.0117001371028677,0.00376423310263367,0.0159025310934399,"age2_M2_T4"
0.0025,0.01,TRUE,0.0101412336949826,0.0103586860370804,0.000864888679726113,0.0142605946301065,"age2_M2_T4"
0.005,0.01,TRUE,0.00848880920497099,0.0088411485101101,-0.00222103814519291,0.013721604630037,"age2_M2_T4"
0.01,0.01,FALSE,NA,0.00482324593100867,NA,NA,"age2_M2_T4"
0.02,0.01,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.05,0.01,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0,0.02,TRUE,0.0106610084722497,0.0105343171336834,0.00822280897149761,0.0179642388458766,"age2_M2_T4"
0.0025,0.02,TRUE,0.00924453131027302,0.00923060345218119,0.00658392245007364,0.0145835896259686,"age2_M2_T4"
0.005,0.02,TRUE,0.00764442458253848,0.00768270236483754,0.00453238002112703,0.0119862194765628,"age2_M2_T4"
0.01,0.02,FALSE,NA,0.00379396708244337,NA,NA,"age2_M2_T4"
0.02,0.02,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.05,0.02,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0,0.05,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.0025,0.05,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.005,0.05,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.01,0.05,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.02,0.05,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0.05,0.05,FALSE,NA,NA,NA,NA,"age2_M2_T4"
0,0,TRUE,0.0663322833730252,0.0625399995068203,0.0168553415262968,0.13266456674605,"C4_M2_T2"
0.0025,0,TRUE,0.0609891733433185,0.0593955281818416,0.00920046902680142,0.112135992368721,"C4_M2_T2"
0.005,0,TRUE,0.0551886099963934,0.0500272190347512,-0.000396814812061524,0.107933637060571,"C4_M2_T2"
0.01,0,TRUE,0.0419581300133503,0.0422583221011763,-0.0231866551508996,0.0795555397048948,"C4_M2_T2"
0.02,0,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0.05,0,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0,0.0025,TRUE,0.0658200470645729,0.062796732130059,0.0158337031080861,0.129186069533707,"C4_M2_T2"
0.0025,0.0025,TRUE,0.0605375074520549,0.0588671296535433,0.00844652448839579,0.111745240016294,"C4_M2_T2"
0.005,0.0025,TRUE,0.0548047346459866,0.050127508585631,-0.00115922887789366,0.107489160396538,"C4_M2_T2"
0.01,0.0025,TRUE,0.0417367960658195,0.0418027812344905,-0.0235540823731812,0.0793825727189066,"C4_M2_T2"
0.02,0.0025,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0.05,0.0025,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0,0.005,TRUE,0.0653035191362605,0.0624224217588762,0.0149907540076174,0.128929412851161,"C4_M2_T2"
0.0025,0.005,TRUE,0.0600822129963549,0.0583583968701533,0.00787312396746087,0.111163442485187,"C4_M2_T2"
0.005,0.005,TRUE,0.0544179187938946,0.0499247503528299,-0.00166653072584343,0.106902877375638,"C4_M2_T2"
0.01,0.005,TRUE,0.0415139551164185,0.0415004529960845,-0.0239242203007221,0.0790695621461959,"C4_M2_T2"
0.02,0.005,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0.05,0.005,FALSE,NA,NA,NA,NA,"C4_M2_T2"
0,0.01,TRUE,0.0642573708609226,0.0618926670658684,0.0135962682482604,0.125741932301192,"C4_M2_T2"
